,age,cit,educ,engl,occ,birth,sex,wageinc,wkswrkd,yrentry,powspuma
1,50.30081607,1,13,0,102,6,2,75000,52,0,6010
2,41.10139038,1,9,0,101,6,1,12300,20,0,0
3,24.67374037,1,9,0,102,6,2,15400,52,0,6010
4,50.19951205,1,11,0,100,8,1,0,52,0,0
5,51.18112358,1,11,0,100,6,2,160,1,0,6010
6,57.70413427,1,11,0,100,6,1,0,0,0,0
7,67.73839811,1,12,0,101,6,2,0,0,0,0
8,42.34543633,1,11,0,100,6,1,32000,52,0,6010
9,43.30083044,1,14,0,100,6,2,39000,48,0,6010
10,46.46768633,1,9,0,100,6,1,20000,52,0,6010
11,43.61138989,1,12,0,101,6,1,38200,52,0,6010
12,54.51347451,1,13,0,101,17,1,0,8,0,41300
13,69.05749415,1,12,0,100,6,1,0,0,0,0
14,46.63041304,1,13,0,100,6,1,0,52,0,6160
15,16.23840004,1,6,0,101,34,1,0,1,0,0
16,56.90188176,1,11,0,100,6,1,62000,52,0,6010
17,61.08798187,1,13,10,100,27,1,90000,52,0,53060
18,22.78202663,1,12,0,100,6,2,23000,52,0,6010
19,46.43374531,1,13,0,100,6,1,71000,52,0,6010
20,23.51647597,1,11,0,102,6,2,10000,48,0,6010
21,53.18480686,1,13,0,141,6,1,46000,52,0,6010
22,47.3419281,1,14,0,141,53,1,0,0,0,0
23,38.10452797,1,13,0,100,6,1,48000,52,0,6010
24,42.93450105,1,12,0,102,6,1,45000,52,0,6010
25,35.01651906,1,13,0,140,6,2,2000,35,0,0
26,47.41739591,1,13,20,102,6,2,48000,52,0,6010
27,39.94324138,1,11,0,100,6,2,12000,52,0,0
28,21.36207956,1,11,10,140,6,1,2500,12,0,6010
29,45.5847831,1,13,0,102,6,2,85000,52,0,6010
30,22.11952345,1,11,0,100,6,2,17000,52,0,0
31,31.18263756,1,13,10,101,6,2,16800,52,0,6010
32,29.08375055,1,13,0,101,6,1,3800,10,0,6010
33,22.09754309,1,11,10,100,6,1,4000,30,0,6010
34,23.39807605,1,11,10,100,6,1,14000,52,0,6010
35,52.70296059,1,14,0,141,6,1,94000,52,0,6010
36,39.60427176,1,13,0,102,6,2,27000,52,0,6010
37,54.07463374,1,13,0,102,6,1,17200,35,0,0
38,18.00068914,1,8,10,101,6,1,1400,6,0,0
39,28.31638966,1,9,0,101,55,1,0,52,0,6010
40,63.83333747,1,12,0,141,41,1,0,0,0,0
41,22.29699014,1,12,0,140,6,1,2500,12,0,6010
42,35.42258059,1,12,0,100,26,1,1500,40,0,6010
43,17.40979235,1,8,30,101,6,1,6000,52,0,6010
44,48.81819162,1,11,0,100,6,2,37000,52,0,6010
45,43.58351613,1,13,0,102,42,1,60000,52,0,6010
46,53.03651706,1,11,0,101,6,2,5000,20,0,6010
47,32.14957878,1,9,0,100,6,2,16000,52,0,0
48,30.58997057,1,11,0,106,6,2,25000,48,0,6010
49,67.90330582,1,13,0,141,38,1,52000,52,0,0
50,48.84665623,1,13,0,141,8,1,52000,52,0,6010
51,38.81843503,1,11,10,100,6,1,38000,52,0,6010
52,18.64246762,3,7,0,102,249,2,100,1,1983,0
53,17.84211783,1,6,0,100,6,1,2200,20,0,6010
54,42.73372379,1,11,0,101,34,1,100000,20,0,32200
55,47.78085588,1,11,0,100,55,1,32000,52,0,6010
56,63.59453857,1,12,0,101,46,1,5200,10,0,0
57,48.30666436,1,14,0,100,11,1,70000,52,0,0
58,40.21141066,1,13,0,102,27,1,32000,52,0,6030
59,37.18205068,1,12,10,101,6,1,0,52,0,6010
60,35.72453999,1,12,0,100,6,2,15000,52,0,6010
61,43.03044656,1,13,0,101,6,1,50000,50,0,6010
62,57.33321615,1,15,0,141,27,1,45000,52,0,6010
63,26.17968932,1,9,0,100,6,2,20000,52,0,0
64,42.16860911,1,13,0,102,30,1,30000,52,0,6010
65,20.09757936,1,9,0,140,6,1,19200,52,0,6010
66,32.95432841,1,9,0,101,28,1,325000,52,0,6010
67,22.71026882,1,12,0,101,6,1,12000,27,0,6010
68,67.18204431,1,12,0,101,29,1,0,0,0,0
69,27.35292612,1,13,0,100,6,1,30000,52,0,6010
70,19.70894659,1,9,0,102,6,1,2000,12,0,0
71,32.42229569,1,10,0,100,6,1,23000,52,0,6010
72,40.58086674,1,9,0,100,6,1,0,0,0,0
73,59.83511278,1,11,0,102,53,1,38000,52,0,6020
74,38.79677187,1,12,0,100,6,1,30000,52,0,6040
75,52.00303736,1,13,0,101,25,2,0,46,0,6020
76,63.21089638,1,11,0,141,6,1,0,0,0,0
77,52.88632644,1,13,0,102,17,1,0,0,0,0
78,18.70855839,1,9,0,100,6,2,400,4,0,0
79,45.3091245,1,9,0,102,6,1,95000,52,0,6040
80,55.45405789,1,10,0,100,36,1,26100,42,0,0
81,38.93224884,1,11,0,141,6,1,120000,48,0,6150
82,33.14203503,1,13,0,101,6,1,0,52,0,6020
83,41.52996655,5,13,40,100,223,1,1800,52,1979,0
84,45.69352011,1,9,0,102,6,1,40000,52,0,6020
85,64.95234637,1,16,0,141,55,1,0,0,0,0
86,32.852724,1,13,0,140,6,1,75000,52,0,6040
87,62.35095247,1,14,0,100,6,1,0,20,0,0
88,40.28482167,1,13,0,101,29,1,38000,52,0,6020
89,31.13954888,1,11,20,102,31,1,54000,52,0,6020
90,46.42884383,1,11,0,101,27,2,68000,50,0,6160
91,59.12943263,1,12,0,101,6,1,60000,52,0,6020
92,24.20868999,1,13,0,101,6,2,3000,20,0,6020
93,53.6992023,1,11,0,101,37,1,0,25,0,6020
94,24.15341163,1,9,0,100,6,1,26000,50,0,6020
95,52.61805051,1,14,0,100,39,1,0,0,0,0
96,51.71446803,1,11,0,100,26,2,0,0,0,0
97,77.53911392,1,16,0,141,36,1,0,0,0,0
98,27.68306865,1,12,0,100,6,2,40000,40,0,6020
99,77.65899964,2,13,0,141,66,1,0,0,1951,0
100,54.68486824,1,10,0,141,6,2,49000,48,0,6020
101,59.75563936,1,11,0,102,25,1,27000,40,0,6160
102,66.4001386,1,9,0,100,27,1,0,51,0,6020
103,50.89660294,1,13,0,100,6,1,2100,4,0,0
104,47.32577117,1,16,0,100,6,1,0,52,0,6020
105,55.98478781,1,16,0,102,12,1,117000,42,0,6150
106,43.97917815,1,12,0,102,6,1,0,52,0,6020
107,26.61030209,1,11,0,100,25,2,15000,30,0,0
108,34.53422094,1,13,31,101,6,2,34500,41,0,0
109,59.0037675,4,12,0,100,139,2,41000,52,1964,0
110,47.90436944,1,13,0,100,51,1,24000,40,0,6010
111,35.94600776,1,10,0,102,6,1,64000,52,0,6020
112,40.96461301,1,12,0,100,34,1,43000,48,0,6020
113,27.26784169,1,11,0,100,6,1,11000,50,0,6020
114,25.62590398,1,11,0,101,6,1,0,52,0,6020
115,31.7857148,1,12,0,141,6,1,28000,52,0,6020
116,33.09656055,1,11,0,100,6,2,0,52,0,0
117,30.23216319,1,12,0,101,6,2,40000,52,0,6060
118,46.10092109,4,14,10,101,233,1,0,45,1985,6020
119,40.15076183,1,13,0,101,42,2,3900,38,0,0
120,49.43858036,1,14,0,101,6,1,62000,52,0,6020
121,26.36657202,1,11,0,102,39,1,21000,50,0,0
122,69.38718261,1,12,0,141,6,1,0,0,0,0
123,25.75880772,4,15,0,100,303,1,50000,50,1980,6020
124,28.07389963,1,13,0,101,6,1,33000,52,0,6020
125,35.02575878,1,14,0,102,6,1,42000,52,0,6020
126,55.60699562,1,14,0,102,17,1,80000,52,0,6120
127,39.99695797,1,10,0,100,6,1,40400,50,0,6020
128,36.83142508,1,13,0,101,6,1,86000,52,0,6020
129,29.35494461,1,13,0,102,6,1,48000,50,0,6020
130,57.76523683,1,13,0,102,36,1,62000,52,0,6020
131,27.81927349,1,13,0,101,27,1,3600,40,0,6020
132,23.44515536,1,12,0,102,41,1,0,52,0,6020
133,37.67225243,1,12,0,100,6,1,12000,52,0,6020
134,23.1790936,1,12,0,101,41,1,16000,52,0,6020
135,23.41628365,1,11,0,140,6,1,40000,30,0,0
136,57.61787702,1,13,0,100,6,1,0,0,0,6020
137,50.66091733,5,13,0,100,301,2,75000,45,1960,6020
138,38.94035664,1,8,0,101,48,1,45000,50,0,6020
139,72.02292119,1,9,0,140,36,2,0,0,0,0
140,52.21679843,1,16,0,102,6,1,0,40,0,6020
141,41.84279679,1,13,0,101,6,2,29100,32,0,0
142,29.93319758,1,12,0,101,20,2,10000,26,0,6020
143,17.43864949,1,9,0,101,6,1,0,0,0,6020
144,34.06131988,1,12,0,141,6,1,44000,52,0,6020
145,21.67944396,1,11,0,140,6,1,13200,30,0,0
146,47.4978541,1,12,10,102,16,1,0,52,0,6020
147,40.43767354,1,11,0,102,6,1,40100,52,0,6070
148,22.30749491,1,11,0,102,6,1,9500,52,0,6020
149,21.29639013,1,12,0,100,6,1,10900,49,0,6020
150,51.85274319,1,12,0,100,6,1,54000,52,0,6020
151,32.61633002,1,13,0,102,24,1,48000,50,0,6100
152,38.98051176,1,12,0,102,6,2,37000,48,0,6020
153,44.57419005,1,12,0,101,6,1,42500,52,0,6020
154,46.2904218,1,10,0,100,6,1,0,9,0,0
155,44.64748872,1,16,0,140,55,1,56000,36,0,6020
156,55.25613433,1,15,0,101,6,1,14600,48,0,6020
157,28.84895662,1,11,0,100,6,1,48000,52,0,6020
158,24.71221535,5,13,0,101,163,1,20000,52,1994,6020
159,31.63892748,1,11,0,101,6,1,40000,32,0,6020
160,32.8868734,1,13,0,101,6,1,28000,52,0,6030
161,29.70933419,1,13,0,102,6,2,40000,52,0,6030
162,43.4555336,1,9,0,140,6,2,0,0,0,6030
163,52.84189672,1,13,0,141,18,1,53000,52,0,6030
164,35.65363728,1,13,0,101,6,2,0,29,0,6160
165,47.13143863,1,11,0,102,6,1,133000,52,0,6030
166,57.59365477,1,13,0,102,6,1,0,0,0,0
167,43.86916223,1,14,0,141,48,2,150000,52,0,6030
168,43.02001359,1,12,0,100,24,2,42000,52,0,6070
169,50.05647866,1,10,0,141,6,1,50000,52,0,0
170,54.45142426,1,13,0,141,6,1,73000,52,0,6080
171,39.0418181,1,13,0,102,6,2,65000,52,0,6030
172,55.28572604,1,14,0,100,11,1,325000,52,0,6030
173,42.44982459,1,13,0,101,6,2,19000,52,0,6070
174,64.55279692,1,15,0,106,8,1,0,0,0,0
175,58.57920649,1,14,0,100,27,1,45000,52,0,6030
176,34.79238077,1,9,0,141,20,1,6400,52,0,0
177,38.39360991,1,11,0,101,6,1,40100,52,0,6030
178,41.519384,1,12,0,100,6,1,100000,52,0,6030
179,41.63495267,1,13,0,102,39,1,40000,26,0,6070
180,39.77122313,1,12,0,100,6,1,70000,52,0,6070
181,59.34757284,1,11,30,102,16,1,36000,28,0,0
182,34.07970941,1,12,0,106,16,1,38000,52,0,32100
183,40.53504378,1,13,0,141,6,1,42000,52,0,6070
184,47.16013684,1,13,0,141,53,1,80000,52,0,6030
185,60.57433488,1,9,0,102,6,2,0,0,0,0
186,32.21431764,1,13,0,100,6,2,0,52,0,6030
187,34.5422948,1,11,0,101,53,1,0,52,0,6030
188,34.36077664,1,11,0,100,6,1,24000,52,0,6030
189,46.01358649,1,9,0,100,6,1,32000,52,0,6030
190,56.48708477,1,15,0,100,6,1,0,0,0,6070
191,35.02439928,5,13,10,100,210,2,100000,52,1996,0
192,38.8724989,1,13,0,101,6,1,20000,46,0,6030
